mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,spectral_rolloff_mean,spectral_rolloff_std,rms_energy_mean,rms_energy_std,zero_crossing_rate_mean,zero_crossing_rate_std,spectral_centroid_mean,spectral_centroid_std,chroma_mean,chroma_std,spectral_bandwidth_mean,spectral_bandwidth_std,filename,member,phrase,augmentation,is_authorized
-502.8642578125,113.78121948242188,146.31788635253906,77.3346939086914,5.354372024536133,49.64633560180664,20.841039657592773,31.507524490356445,18.821483612060547,20.018383026123047,-4.54569673538208,24.038095474243164,1.7335795164108276,14.35901927947998,4.040332317352295,11.924186706542969,4.123051643371582,12.166394233703613,-4.444525241851807,8.559317588806152,-7.217897415161133,10.746291160583496,5.333286762237549,8.450340270996094,3.7982025146484375,7.357266426086426,3010.9375,2193.623404912093,0.025313811,0.029325966,0.04217122395833333,0.038758016051144276,1773.579131085999,1169.1169050386231,0.5219220519065857,0.2813185751438141,2213.8352471579396,1197.6724059236437,Aubert confirm transaction.wav,Aubert confirm transaction,Aubert confirm transaction,original,1
-485.8548889160156,114.68733978271484,104.8492202758789,76.4661636352539,10.621882438659668,38.938941955566406,19.859661102294922,26.841556549072266,14.999933242797852,22.402923583984375,2.128424882888794,14.624893188476562,10.899432182312012,16.474708557128906,5.9060797691345215,9.178686141967773,-1.7334914207458496,11.141776084899902,-4.187361240386963,8.998029708862305,-3.0045104026794434,7.209121227264404,2.3036129474639893,7.776308536529541,1.3711947202682495,12.297209739685059,3693.1788340336134,1937.8103128872078,0.02776878,0.04640328,0.0506355862657563,0.04972873861825657,2105.8022703116344,1194.1970735069922,0.5708138346672058,0.29159051179885864,2562.1735920697565,1115.3415949704686,Aubert yes approve.wav,Aubert yes approve,Aubert yes approve,original,1
-440.6482238769531,110.5023193359375,124.48126983642578,38.782958984375,-4.611973285675049,39.36742401123047,41.20869064331055,22.94911003112793,-13.323716163635254,20.473344802856445,25.05135726928711,13.567229270935059,1.3480916023254395,8.938210487365723,9.907736778259277,7.528907299041748,-10.021332740783691,9.306413650512695,10.034870147705078,8.931912422180176,-7.763853549957275,7.091785430908203,7.717440128326416,7.824453830718994,-0.16365450620651245,7.001832485198975,7555.525433753944,3253.0987222316935,0.015102744,0.014176501,0.07541095721608833,0.08242861677140101,3472.252187057125,1629.658807940492,0.5274649858474731,0.29839032888412476,3989.084542434733,951.8273021478333,Jade-Confirm transaction.wav,Jade-Confirm transaction,Jade-Confirm transaction,original,1
-436.8311767578125,127.36402130126953,105.7684097290039,37.819252014160156,4.61148738861084,28.86920738220215,47.00611114501953,28.134246826171875,-9.062711715698242,19.45132827758789,18.001792907714844,13.0122709274292,0.7919448018074036,10.861706733703613,9.859662055969238,7.019378662109375,-7.609908580780029,8.865071296691895,8.61903190612793,7.495654582977295,-6.526281356811523,8.450782775878906,3.0460190773010254,8.674776077270508,-4.062209129333496,9.011699676513672,9008.73161764706,3448.4312764319693,0.01914928,0.024022209,0.08680683210784314,0.06949405218555649,4019.6545572268506,1648.433927062577,0.5610559582710266,0.28708213567733765,4319.583629545915,971.6363500522123,"Jade-Yes,Approve.wav","Jade-Yes,Approve","Jade-Yes,Approve",original,1
-439.4872741699219,111.73540496826172,139.0928497314453,62.00008773803711,14.347987174987793,38.231529235839844,10.757973670959473,19.034008026123047,2.5922133922576904,15.132098197937012,0.7930004596710205,14.927279472351074,-3.128725051879883,9.141916275024414,3.119584798812866,9.533056259155273,-3.611083984375,11.041406631469727,-8.047754287719727,13.077933311462402,0.6817149519920349,5.679910182952881,-1.0272345542907715,7.536075592041016,-5.314350605010986,8.156601905822754,3505.8053359683795,3452.749127088566,0.03045261,0.037971217,0.034990272974308304,0.03870321019204323,1944.478196673599,1756.3547077381934,0.48189201951026917,0.3183201253414154,2633.6001648648594,1404.993254630136,liliane confirm transaction.wav,liliane confirm transaction,liliane confirm transaction,original,1
-454.1494445800781,128.25567626953125,78.23655700683594,69.12646484375,23.142070770263672,23.14926528930664,21.07149887084961,18.36359405517578,8.053960800170898,10.801348686218262,7.54441499710083,11.259757041931152,0.23922787606716156,12.164045333862305,4.487187385559082,6.627559661865234,0.32660606503486633,7.8104963302612305,-1.2176185846328735,8.787358283996582,0.5279300808906555,6.66971492767334,-2.2367115020751953,6.9712371826171875,-3.2756857872009277,8.44076919555664,5896.150914634146,3490.092430931239,0.04369562,0.08423268,0.04391752413617886,0.0402947142425832,2790.5732767391187,1758.18797751146,0.5595040917396545,0.28865525126457214,3764.194256411504,1462.2726110601236,liliane yes approve.wav,liliane yes approve,liliane yes approve,original,1
-449.003173828125,92.84294128417969,140.58604431152344,56.88043975830078,14.969606399536133,49.77003479003906,59.653663635253906,43.244041442871094,-23.262304306030273,23.395750045776367,-10.666098594665527,14.374281883239746,27.464330673217773,18.89345359802246,-19.945634841918945,16.70417022705078,-3.594998598098755,13.095946311950684,-6.818217754364014,10.414742469787598,-9.150286674499512,7.0226335525512695,13.172018051147461,15.830574035644531,-13.137838363647461,9.809642791748047,4708.188657407408,4188.271126561041,0.035996992,0.02921222,0.07183762538580248,0.08718605175394777,2704.89726299273,2468.872455530003,0.3875410854816437,0.3231959939002991,2407.2428075272483,1249.3930065956717,pauline confirm transaction.wav,pauline confirm transaction,pauline confirm transaction,original,1
-530.2669677734375,72.8355712890625,115.4077377319336,49.23699188232422,38.7562255859375,31.84162712097168,62.00397872924805,36.86494827270508,-18.92102813720703,28.156904220581055,-4.644881725311279,13.642719268798828,23.913333892822266,21.070165634155273,-21.55353355407715,16.64516258239746,-2.9424407482147217,11.1429443359375,-4.856756687164307,9.15681266784668,-13.290997505187988,11.106614112854004,4.1594462394714355,6.8584113121032715,-16.496906280517578,13.498347282409668,5280.914493865031,4144.66008151264,0.018737748,0.022516267,0.07863724597392638,0.07823467029456498,2985.676619714355,2274.0050366208347,0.4265238344669342,0.32673490047454834,2874.988700250429,1153.6196868079082,pauline yes approve.wav,pauline yes approve,pauline yes approve,original,1
-527.9285278320312,116.42332458496094,136.08737182617188,75.97164154052734,2.0714876651763916,47.82490539550781,21.42656135559082,32.12237548828125,9.96066665649414,22.41241455078125,-7.391039848327637,22.624420166015625,3.7420833110809326,11.144622802734375,3.5298380851745605,14.513083457946777,-0.3702935576438904,10.739781379699707,-9.022226333618164,11.103554725646973,-1.7405250072479248,9.627225875854492,6.742067337036133,6.665582180023193,-1.8828295469284058,7.951187610626221,3417.08984375,2351.938330947986,0.017051658,0.020384455,0.05237630208333333,0.04403946499116794,1953.0550286024472,1227.4744448812048,0.49810561537742615,0.2998015880584717,2221.530107424556,1064.8639676392788,Aubert confirm transaction_Aubert confirm transaction_pitch_up.wav,Aubert confirm transaction,Aubert confirm transaction,pitch_up,1
-532.270263671875,112.32438659667969,142.39401245117188,75.76799011230469,6.175967216491699,48.07184982299805,21.530813217163086,32.21800994873047,18.20745086669922,21.005847930908203,-5.479949474334717,24.38706398010254,1.2948107719421387,14.48831558227539,4.275349140167236,11.844598770141602,3.9342844486236572,12.847208976745605,-5.474941253662109,9.530393600463867,-8.046712875366211,10.039319038391113,5.019672393798828,7.555386543273926,3.414097309112549,7.107638835906982,2974.5703125,2149.560927513177,0.017543701,0.019741284,0.0439404296875,0.037435412098738546,1748.8734088022018,1143.265443266409,0.5281116366386414,0.27785539627075195,2174.4269212575705,1132.8449448548236,Aubert confirm transaction_Aubert confirm transaction_faster.wav,Aubert confirm transaction,Aubert confirm transaction,faster,1
